Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-08,34.88999938964844,35.77000045776367,34.470001220703125,35.45000076293945,8908300,0,0
2021-04-09,34.91999816894531,35.27000045776367,34.290000915527344,34.4900016784668,5522900,0,0
2021-04-12,34.900001525878906,36.13999938964844,33.70000076293945,33.9900016784668,11231200,0,0
2021-04-13,34.540000915527344,36.029998779296875,34.209999084472656,35.47999954223633,12183700,0,0
2021-04-14,35.849998474121094,35.95000076293945,32.689998626708984,32.88999938964844,19735200,0,0
2021-04-15,32.957000732421875,32.959999084472656,30.59000015258789,31.399999618530273,21561500,0,0
2021-04-16,30.780000686645508,31.040000915527344,30.350000381469727,30.920000076293945,13563000,0,0
2021-04-19,31.299999237060547,31.399999618530273,29.770000457763672,31.200000762939453,14845300,0,0
2021-04-20,31.299999237060547,31.84000015258789,30.350000381469727,31.270000457763672,7475400,0,0
2021-04-21,30.96500015258789,32.60499954223633,30.56999969482422,32.599998474121094,9432400,0,0
2021-04-22,32.619998931884766,33.18000030517578,31.68000030517578,32.369998931884766,11969900,0,0
2021-04-23,32.39500045776367,33.439998626708984,32.150001525878906,33.29999923706055,8891600,0,0
2021-04-26,33.5,33.59000015258789,32.22999954223633,33.0,12281200,0,0
2021-04-27,32.970001220703125,33.005001068115234,31.3700008392334,31.59000015258789,12002000,0,0
2021-04-28,31.459999084472656,32.266998291015625,31.100000381469727,31.690000534057617,7992600,0,0
2021-04-29,31.969999313354492,32.02000045776367,29.81999969482422,30.520000457763672,11607900,0,0
2021-04-30,29.899999618530273,31.0,29.43000030517578,29.90999984741211,14543300,0,0
2021-05-03,30.09000015258789,30.239999771118164,28.8700008392334,29.020000457763672,11035500,0,0
2021-05-04,28.3700008392334,29.149999618530273,27.670000076293945,28.969999313354492,14223900,0,0
2021-05-05,29.170000076293945,29.170000076293945,27.81999969482422,27.989999771118164,5176500,0,0
2021-05-06,27.639999389648438,28.200000762939453,25.770000457763672,26.3799991607666,18358700,0,0
2021-05-07,26.610000610351562,27.672000885009766,26.40999984741211,26.690000534057617,11561700,0,0
