Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-08,223.5,228.4600067138672,221.74000549316406,226.77000427246094,7050400,0,0
2021-04-09,222.9499969482422,224.52999877929688,217.0800018310547,219.6699981689453,7416400,0,0
2021-04-12,217.49000549316406,219.1199951171875,211.55999755859375,214.13999938964844,8174100,0,0
2021-04-13,209.60000610351562,217.38999938964844,207.69000244140625,216.55999755859375,9235800,0,0
2021-04-14,218.91000366210938,222.9499969482422,215.2100067138672,216.25999450683594,6312800,0,0
2021-04-15,216.94000244140625,217.82000732421875,208.3000030517578,210.22999572753906,9041900,0,0
2021-04-16,212.2899932861328,215.47000122070312,209.02999877929688,213.55999755859375,5827400,0,0
2021-04-19,216.2100067138672,218.0,208.4499969482422,209.89999389648438,7318000,0,0
2021-04-20,209.99000549316406,210.44000244140625,204.8800048828125,207.99000549316406,6296900,0,0
2021-04-21,206.39999389648438,214.64999389648438,205.50999450683594,214.63999938964844,4414300,0,0
2021-04-22,215.7899932861328,220.05999755859375,213.33999633789062,214.55999755859375,5462300,0,0
2021-04-23,218.5,222.67999267578125,217.25,220.94000244140625,5407900,0,0
2021-04-26,218.10000610351562,219.32000732421875,214.1999969482422,216.4600067138672,5844700,0,0
2021-04-27,218.1999969482422,221.74000549316406,215.9199981689453,216.39999389648438,4821400,0,0
2021-04-28,216.5,219.55999755859375,215.13999938964844,215.8300018310547,4005100,0,0
2021-04-29,218.7899932861328,218.8699951171875,210.72999572753906,212.2899932861328,6120500,0,0
2021-04-30,210.49000549316406,214.4199981689453,209.66000366210938,210.3300018310547,3901600,0,0
2021-05-03,210.5500030517578,212.7100067138672,204.32000732421875,204.94000244140625,5713600,0,0
2021-05-04,205.8000030517578,207.75,199.22999572753906,199.97999572753906,8341200,0,0
2021-05-05,201.4199981689453,203.3300018310547,194.9499969482422,195.6300048828125,5891800,0,0
2021-05-06,195.7100067138672,196.64999389648438,190.0,192.3300018310547,8162100,0,0
2021-05-07,194.1999969482422,198.49000549316406,189.50999450683594,191.5500030517578,7422700,0,0
