Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-08,37.619998931884766,39.18000030517578,37.470001220703125,38.70000076293945,63692000,0,0
2021-04-09,38.349998474121094,38.36000061035156,37.0099983215332,38.119998931884766,69272700,0,0
2021-04-12,37.959999084472656,38.0,36.7599983215332,37.13999938964844,53428100,0,0
2021-04-13,37.47999954223633,38.65999984741211,37.33000183105469,38.47999954223633,62005700,0,0
2021-04-14,39.22999954223633,39.33000183105469,36.790000915527344,37.02000045776367,78454000,0,0
2021-04-15,37.02000045776367,37.060001373291016,34.560001373291016,35.65999984741211,100437400,0,0
2021-04-16,34.689998626708984,36.540000915527344,34.060001373291016,36.09000015258789,84477400,0,0
2021-04-19,36.779998779296875,37.540000915527344,35.36000061035156,36.779998779296875,92190700,0,0
2021-04-20,37.16999816894531,37.81999969482422,35.939998626708984,36.93000030517578,71208600,0,0
2021-04-21,36.529998779296875,38.959999084472656,36.15999984741211,38.900001525878906,77449200,0,0
2021-04-22,38.9900016784668,40.45000076293945,38.4900016784668,39.56999969482422,115802700,0,0
2021-04-23,40.20000076293945,41.20000076293945,39.540000915527344,41.08000183105469,70342400,0,0
2021-04-26,41.959999084472656,43.220001220703125,40.86000061035156,42.619998931884766,88233500,0,0
2021-04-27,43.02000045776367,43.130001068115234,41.02000045776367,41.209999084472656,69998800,0,0
2021-04-28,40.7400016784668,41.95000076293945,40.439998626708984,41.189998626708984,57639600,0,0
2021-04-29,41.380001068115234,41.4900016784668,38.72999954223633,38.9900016784668,82660700,0,0
2021-04-30,37.72999954223633,41.220001220703125,37.349998474121094,39.84000015258789,116546500,0,0
2021-05-03,40.34000015258789,41.45000076293945,39.310001373291016,39.540000915527344,80089600,0,0
2021-05-04,38.9900016784668,39.31999969482422,36.91999816894531,37.93000030517578,78256800,0,0
2021-05-05,38.34000015258789,38.54999923706055,37.459999084472656,37.709999084472656,24239100,0,0
2021-05-06,37.4900016784668,38.040000915527344,35.77000045776367,36.68000030517578,71656000,0,0
2021-05-07,37.16999816894531,38.040000915527344,36.619998931884766,36.939998626708984,55387500,0,0
